id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
edit_account_move_book_manager,account_move_book_manager,model_account_move_book,account.group_account_manager,1,1,1,1
access_account_move_book_user,account_move_book_user,model_account_move_book,,1,0,0,0
edit_account_move_receipt_consumption_manager,account_move_receipt_consumption_manager,model_account_move_receipt_consumption,account.group_account_manager,1,1,1,1
access_account_move_receipt_consumption_user,account_move_receipt_consumption_user,model_account_move_receipt_consumption,,1,0,0,0
edit_account_move_book_receipts_manager,edit_move_book_receipts_manager,model_account_move_book_receipts,account.group_account_manager,1,1,1,1
access_account_move_book_receipts_user,account_move_book_receipts_user,model_account_move_book_receipts,,1,0,0,0
edit_sii_dte_build_sales_book_wizard_manager,sii_dte_build_sales_book_wizard_manager,model_sii_dte_build_sales_book_wizard,account.group_account_manager,1,1,1,1
access_sii_dte_build_sales_book_wizard_user,sii_dte_build_sales_book_wizard_user,model_sii_dte_build_sales_book_wizard,,1,1,1,1
edit_account_move_book_tax_manager,account_move_book_tax_manager,model_account_move_book_tax,account.group_account_manager,1,1,1,1
access_account_move_book_tax_user,account_move_book_tax_user,model_account_move_book_tax,,1,0,0,0
edit_account_move_book_fees_manager,account_move_book_fees_manager,model_account_move_book_fees,account.group_account_manager,1,1,1,1
access_account_move_book_fees_user,account_move_book_fees_user,model_account_move_book_fees,,1,0,0,0
edit_account_move_book_fees_tax_manager,account_move_book_fees_tax_manager,model_account_move_book_fees_tax,account.group_account_manager,1,1,1,1
access_account_move_book_fees_tax_user,account_move_book_fees_tax_user,model_account_move_book_fees_tax,,1,0,0,0
